,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ogaminana,7.5946,6.2248,312.18,11,14,2.41,NG,2021-03-29 15:10:16
1,Yenagoa,4.9247,6.2642,305.45,52,63,4.59,NG,2021-03-29 15:10:16
2,Lokoja,7.8024,6.743,314.12,10,3,2.64,NG,2021-03-29 15:10:16
3,Edea,3.8,10.1333,305.15,66,40,2.57,CM,2021-03-29 15:08:17
4,Uromi,6.7,6.3333,308.39,23,100,2.0,NG,2021-03-29 15:10:17
5,Pala,9.3642,14.9046,311.27,8,0,3.4,TD,2021-03-29 15:10:17
6,Goundi,9.3627,17.366,312.21,8,2,3.11,TD,2021-03-29 15:10:17
7,Jalingo,8.8833,11.3667,312.37,10,41,3.99,NG,2021-03-29 15:10:17
8,Mubi,10.2676,13.2644,308.54,9,8,4.52,NG,2021-03-29 15:03:09
9,Bousso,10.4795,16.7117,312.17,8,2,3.5,TD,2021-03-29 15:10:18
10,Massaguet,12.4755,15.4365,307.15,7,5,6.69,TD,2021-03-29 15:09:08
11,Yagoua,10.3411,15.2329,311.47,8,5,3.29,CM,2021-03-29 15:10:18
12,Bokoro,12.3807,17.0568,309.39,8,3,6.64,TD,2021-03-29 15:10:18
13,Moussoro,13.6408,16.4901,307.33,6,0,8.29,TD,2021-03-29 15:10:18
14,Ati,13.2154,18.3353,308.22,7,0,6.65,TD,2021-03-29 15:10:19
15,Sarh,9.1429,18.3923,311.15,9,1,7.2,TD,2021-03-29 15:10:19
16,Mongo,12.1844,18.693,308.66,8,0,5.46,TD,2021-03-29 15:10:19
17,Faya,18.3851,42.4509,296.15,30,0,6.69,SA,2021-03-29 15:10:19
18,Am Timan,11.0297,20.2827,310.05,8,3,2.96,TD,2021-03-29 15:02:12
19,Kutum,14.2,24.6667,300.01,9,0,6.21,SD,2021-03-29 15:10:20
20,Birao,10.2849,22.7882,309.46,7,5,4.0,CF,2021-03-29 15:10:20
21,Biltine,14.5333,20.9167,306.0,6,0,6.43,TD,2021-03-29 15:10:20
22,Asyut,27.181,31.1837,294.15,35,0,8.75,EG,2021-03-29 15:10:21
23,Jalu,29.0331,21.5482,294.98,21,2,6.02,LY,2021-03-29 15:10:21
24,Tahta,26.7693,31.5021,298.15,22,0,7.2,EG,2021-03-29 15:10:21
25,Aswan,24.0934,32.907,300.69,9,0,7.12,EG,2021-03-29 15:10:21
26,Oum Hadjer,13.2954,19.6966,308.25,8,0,5.95,TD,2021-03-29 15:10:22
27,Alexandria,31.2156,29.9553,290.15,55,40,6.17,EG,2021-03-29 15:10:22
28,Suez,29.9737,32.5263,291.85,41,1,9.92,EG,2021-03-29 15:10:22
29,Marawi,7.9986,124.2928,299.26,87,100,2.24,PH,2021-03-29 15:10:22
30,Matay,28.419,30.7792,295.75,22,0,8.78,EG,2021-03-29 15:10:23
31,Karpathos,35.507,27.2132,291.15,55,20,8.23,GR,2021-03-29 15:10:23
32,Umm Kaddadah,13.6017,26.6876,303.1,8,0,7.86,SD,2021-03-29 15:08:10
33,Sakakah,29.9697,40.2064,296.15,10,0,3.6,SA,2021-03-29 15:09:07
34,Bolu,40.6667,31.5833,275.44,99,100,2.07,TR,2021-03-29 15:10:23
35,Golkoy,40.6875,37.6178,283.15,76,20,2.06,TR,2021-03-29 15:10:24
36,Marsa Matruh,31.3525,27.2453,290.15,55,40,6.17,EG,2021-03-29 15:10:24
37,Kashary,49.04,41.0056,279.07,56,99,3.0,RU,2021-03-29 15:10:24
38,Abong Mbang,3.9833,13.1833,303.02,42,99,0.72,CM,2021-03-29 15:10:24
39,Mongoumba,3.6415,18.5936,311.0,21,67,1.29,CF,2021-03-29 15:10:25
40,Carnot,4.9409,15.8665,309.39,17,5,2.57,CF,2021-03-29 15:10:25
41,Asaba,6.2006,6.7338,310.68,25,61,0.78,NG,2021-03-29 15:08:11
42,Gboko,7.3179,8.9951,311.66,12,43,2.17,NG,2021-03-29 15:10:25
43,Nanga Eboko,4.6833,12.3667,302.76,35,100,1.22,CM,2021-03-29 15:10:25
44,Lagdo,9.05,13.7333,310.15,8,22,4.12,CM,2021-03-29 15:10:26
45,Lafia,8.4833,8.5167,313.46,11,35,2.58,NG,2021-03-29 15:03:04
46,Kaele,10.1092,14.4508,308.15,10,9,4.35,CM,2021-03-29 15:10:26
47,Gombe,10.2897,11.1673,307.15,10,10,6.17,NG,2021-03-29 15:10:26
48,Maiduguri,11.8464,13.1603,308.44,8,5,6.9,NG,2021-03-29 15:10:27
49,Melfi,40.9965,15.6514,292.15,59,0,7.72,IT,2021-03-29 15:10:27
50,Kyabe,9.4515,18.9449,311.7,7,0,3.25,TD,2021-03-29 15:10:27
51,Adre,13.4667,22.2,304.8,10,0,6.26,TD,2021-03-29 15:10:27
52,Awjilah,29.1081,21.2869,294.95,22,2,6.19,LY,2021-03-29 15:10:28
53,Tukrah,32.5341,20.5791,289.37,61,0,5.46,LY,2021-03-29 15:10:28
54,Dromolaxia,34.8761,33.586,292.15,48,20,4.12,CY,2021-03-29 15:08:11
55,Bardiyah,31.7561,25.0865,289.74,60,7,6.32,LY,2021-03-29 15:03:11
56,Busayra,30.7376,35.6078,287.99,27,2,1.74,JO,2021-03-29 15:10:28
57,Kastamonu,41.5,33.6667,275.84,94,100,2.02,TR,2021-03-29 15:10:29
58,Ierapetra,35.01,25.7353,289.15,67,20,4.63,GR,2021-03-29 15:10:29
59,Sinop,41.7711,34.8709,281.15,87,75,5.66,TR,2021-03-29 15:10:29
60,Tabuk,17.4189,121.4443,297.41,86,76,1.12,PH,2021-03-29 15:10:29
61,Umm Lajj,25.0213,37.2685,297.2,55,1,7.27,SA,2021-03-29 15:08:15
62,Cabras,39.93,8.5314,289.82,80,0,2.68,IT,2021-03-29 15:10:30
63,Hambantota,6.1241,81.1185,298.33,86,92,6.19,LK,2021-03-29 15:10:30
64,Misratah,32.3754,15.0925,292.58,46,0,7.06,LY,2021-03-29 15:07:16
65,Salalah,17.0151,54.0924,303.15,70,0,2.57,OM,2021-03-29 15:10:30
